algorithm,input_bytes,pattern,iterations,total_ns,ns_per_op,throughput_mbs
blake3_keyed,1024,low_entropy,167936,201044125,1197.147276343369,855.3667708519212
blake3_keyed,1024,repeating,167936,200242458,1192.3736304306403,858.7912159967592
blake3_keyed,4096,random,87040,201266625,2312.3463350183824,1771.3609496855229
blake3_keyed,4096,low_entropy,87040,202270542,2323.880307904412,1762.56926231008
blake3_keyed,4096,repeating,86016,200487375,2330.8149065290177,1757.3252979146444
blake3_keyed,16384,random,22528,203055792,9013.485085227272,1817.7208754527917
blake3_keyed,16384,low_entropy,22528,202626208,8994.416193181818,1821.5745911802287
blake3_keyed,16384,repeating,22528,202575000,8992.143110795454,1822.0350586202642
blake3_keyed,65536,random,6144,219142042,35667.650065104164,1837.4072830808063
blake3_keyed,65536,low_entropy,6144,221979875,36129.536946614586,1813.917518423686
blake3_keyed,65536,repeating,6144,223094959,36311.028483072914,1804.8511082673097
highway,8,random,9172992,200019625,21.80527629371093,366.8836795389452
highway,8,low_entropy,9119744,200014875,21.9320712291924,364.7626307793358
highway,8,repeating,9101312,200009916,21.975943248621736,364.03443117290243
highway,16,random,7677952,200001708,26.04883541861163,614.2309144679904
highway,16,low_entropy,8031232,200005000,24.903402118130817,642.4824979375516
highway,16,repeating,7985152,200016125,25.048505651489165,638.7606599217938
highway,32,random,9102336,200008458,21.97331080724772,1456.3121725582225
highway,32,low_entropy,9058304,200002125,22.0794229250862,1449.3132410468138
highway,32,repeating,9182208,200022334,21.783685797577228,1468.9892379717958
highway,64,random,7845888,200021500,25.4938000644414,2510.414290463775
highway,64,low_entropy,7947264,200011167,25.16729870808369,2542.9824925725275
highway,64,repeating,7909376,200021250,25.289131531994432,2530.731429785585
highway,256,random,4043776,200012750,49.461876721163584,5175.703328912782
highway,256,low_entropy,4039680,200026083,49.51532868940114,5170.116139303693
highway,256,repeating,4057088,200011750,49.299337357237505,5192.767564905562
highway,1024,random,1341440,200058041,149.13677913287214,6866.180200175008
highway,1024,low_entropy,1291264,200065083,154.93739700014868,6609.120972898604
highway,1024,repeating,1332224,200150792,150.23809209262106,6815.848003239478
highway,4096,random,353280,200514125,567.5784788269928,7216.623168068583
highway,4096,low_entropy,360448,200192875,555.4001548073509,7374.8629065844625
highway,4096,repeating,360448,200529541,556.3341758034446,7362.481361287313
highway,16384,random,93184,202135209,2169.205110319368,7552.997142620512
highway,16384,low_entropy,93184,201598292,2163.4432091346152,7573.113049985562
highway,16384,repeating,93184,200852500,2155.4397750686812,7601.233024234201
highway,65536,random,24576,207776709,8454.455932617188,7751.651971732789
highway,65536,low_entropy,24576,208274625,8474.716186523438,7733.120326107897
highway,65536,repeating,24576,207823125,8456.344604492188,7749.920688566299
siphash13,8,random,29949952,200004917,6.677971203426303,1197.968627941282
siphash13,8,low_entropy,29727744,200002583,6.727808978710258,1189.0944028457873
siphash13,8,repeating,30128128,200005583,6.63850017498598,1205.0914798713395
siphash13,16,random,24734720,200007167,8.08608979604378,1978.7066930456544
siphash13,16,low_entropy,24678400,200005833,8.104489472575208,1974.2144220363814
siphash13,16,repeating,24441856,200003000,8.182807394004776,1955.3191502127468
siphash13,32,random,15704064,200001625,12.735660336076062,2512.629824882673
siphash13,32,low_entropy,17665024,200004208,11.322045642281607,2826.344373714377
siphash13,32,repeating,17951744,200008375,11.141445365976699,2872.1587683515754
siphash13,64,random,10928128,200014000,18.302677274643926,3496.756187066905
siphash13,64,low_entropy,10937344,200006709,18.286588498999393,3499.8326781128126
siphash13,64,repeating,10612736,200012042,18.84641641891403,3395.8710546038023
siphash13,256,random,2725888,200022500,73.37884021647258,3488.7441562824183
siphash13,256,low_entropy,2747392,200070708,72.8220465081066,3515.418918795449
siphash13,256,repeating,2708480,200042917,73.8580004282845,3466.110624651609
siphash13,1024,random,677888,200001750,295.0365694628021,3470.75619088333
siphash13,1024,low_entropy,656384,200231834,305.052886724844,3356.794983958445
siphash13,1024,repeating,669696,200268875,299.04445449875766,3424.2400572730035
siphash13,4096,random,160768,200708084,1248.4330463773886,3280.9128305963004
siphash13,4096,low_entropy,163840,200134250,1221.5225219726562,3353.1923696218914
siphash13,4096,repeating,162816,200616916,1232.169541077044,3324.217864060875
