name,n_keys,seed,build_wall_ms,build_rss_kb,qps_single_pos,qps_single_neg,qps_multi_pos,qps_multi_neg,fp_rate
xorf::Xor8,1000000,12648430,53.5925,0,233840619.37832534,221840164.1617215,966650555.8240695,1097694840.834248,0.00391
xorf::BinaryFuse8,1000000,12648430,33.771667,0,269553912.53460735,267836218.1525997,1480750977.665833,1252610126.3507833,0.003872
xorfilter_rs::Xor8,1000000,12648430,44.732709,0,274524208.3682665,291152600.3566619,1313126936.0415263,1480569012.2828007,0.00391
bloomfilter::Bloom,1000000,12648430,32.828334,0,31478464.795271937,23045302.086116053,157515464.47451344,145359401.11926737,0.036865
scalable_bloom_filter,1000000,12648430,112.822041,0,16252212.759082416,18089902.40099677,111317258.30490755,55277503.57065034,0.007874
